Rssi,Riding
-56,1
-77,1
-67,1
-42,1
-71,1
-48,1
-75,1
-40,1
-72,1
-82,1
-67,1
-65,1
-44,1
-71,1
-67,1
-47,1
-76,1
-67,1
-44,1
-54,1
-68,1
-71,1
-56,1
-39,1
-71,1
-76,1
-69,1
-72,1
-67,1
-44,1
-71,1
-55,1
-74,1
-65,1
-68,1
-40,1
-72,1
-48,1
-56,1
-71,1
-42,1
-66,1
-47,1
-75,1
-74,1
-64,1
-46,1
-66,1
-41,1
-73,1
-56,1
-47,1
-72,1
-65,1
-40,1
-77,1
-55,1
-67,1
-66,1
-71,1
-44,1
-78,1
-44,1
-47,1
-40,1
-55,1
-73,1
-65,1
-76,1
-68,1
-72,1
-38,1
-47,1
-67,1
-73,1
-75,1
-47,1
-70,1
-46,1
-68,1
-40,1
-47,1
-47,1
-56,1
-45,1
-74,1
-39,1
-70,1
-66,1
-47,1
-65,1
-56,1
-41,1
-70,1
-41,1
-66,1
-66,1
-66,1
-43,1
-65,1
-56,1
-44,1
-70,1
-66,1
-41,1
-69,1
-60,1
-56,1
-42,1
-73,1
-44,1
-69,1
-48,1
-70,1
-68,1
-74,1
-76,1
-66,1
-56,1
-44,1
-79,1
-44,1
-70,1
-80,1
-55,1
-64,1
-44,1
-69,1
-68,1
-65,1
-44,1
-54,1
-64,1
-44,1
-64,1
-39,1
-68,1
-69,1
-55,1
-59,1
-60,1
-52,1
-68,1
-64,1
-54,1
-67,1
-67,1
-75,1
-57,1
-66,1
-66,1
-67,1
-68,1
-72,1
-66,1
-64,1
-71,1
-53,1
-65,1
-65,1
-69,1
-62,1
-64,1
-69,1
-55,1
-69,1
-67,1
-68,1
-60,1
-68,1
-69,1
-67,1
-68,1
-57,1
-67,1
-67,1
-66,1
-55,1
-54,1
-62,1
-61,1
-69,1
-64,1
-61,1
-65,1
-71,1
-64,1
-69,1
-69,1
-64,1
-54,1
-64,1
-69,1
-59,1
-67,1
-65,1
-68,1
-57,1
-69,1
-59,1
-68,1
-68,1
-68,1
-60,1
-69,1
-67,1
-68,1
-69,1
-55,1
-60,1
-67,1
-71,1
-69,1
-65,1
-67,1
-69,1
-67,1
-73,1
-58,1
-67,1
-69,1
-68,1
-67,1
-57,1
-67,1
-54,1
-71,1
-68,1
-67,1
-67,1
-68,1
-63,1
-68,1
-69,1
-54,1
-68,1
-59,1
